ENSG00000108702;CCL1
ENSG00000108691;CCL2
ENSG00000277632;CCL3
ENSG00000277796;CCL3L1
ENSG00000276085;CCL3L3
ENSG00000275302;CCL4
#No ENSG: CCL4L1
ENSG00000276070;CCL4L2
ENSG00000271503;CCL5
ENSG00000108688;CCL7
ENSG00000108700;CCL8
ENSG00000172156;CCL11
ENSG00000181374;CCL13
ENSG00000276409;CCL14
ENSG00000275718;CCL15
ENSG00000275152;CCL16
ENSG00000102970;CCL17
ENSG00000275385;CCL18
ENSG00000172724;CCL19
ENSG00000115009;CCL20
ENSG00000137077;CCL21
ENSG00000102962;CCL22
ENSG00000274736;CCL23
ENSG00000106178;CCL24
ENSG00000131142;CCL25
ENSG00000006606;CCL26
ENSG00000213927;CCL27
ENSG00000151882;CCL28
ENSG00000163739;CXCL1
ENSG00000081041;CXCL2
ENSG00000163734;CXCL3
ENSG00000163735;CXCL5
ENSG00000124875;CXCL6
ENSG00000169429;CXCL8
ENSG00000138755;CXCL9
ENSG00000169245;CXCL10
ENSG00000169248;CXCL11
ENSG00000107562;CXCL12
ENSG00000156234;CXCL13
ENSG00000145824;CXCL14
ENSG00000161921;CXCL16
ENSG00000189377;CXCL17
ENSG00000006210;CX3CL1
ENSG00000143184;XCL1
ENSG00000143185;XCL2
