Description(Sequences  with  E-value BETTER than threshold),Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
RecName: Full=C-X-C chemokine receptor type 3; Short=CXC-R3; Short=CXCR-3; AltName: Full=Interferon-inducible protein 10 receptor; Short=IP-10 receptor; AltName: CD_antigen=CD183 [Bos taurus],Bos taurus,213,213,96%,9e-66,43.94,366,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q5MD61.1?report=genbank&log$=prottop&blast_rank=1&RID=42HUBWRS013"",""Q5MD61.1"")"
RecName: Full=C-X-C chemokine receptor type 3; Short=CXC-R3; Short=CXCR-3; AltName: Full=Interferon-inducible protein 10 receptor; Short=IP-10 receptor; AltName: CD_antigen=CD183 [Capra hircus],Capra hircus,211,211,96%,4e-65,43.25,366,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q867B2.1?report=genbank&log$=prottop&blast_rank=2&RID=42HUBWRS013"",""Q867B2.1"")"
RecName: Full=C-X-C chemokine receptor type 1; Short=CXC-R1; Short=CXCR-1; AltName: Full=High affinity interleukin-8 receptor A; Short=IL-8R A; AltName: CD_antigen=CD181 [Oryctolagus cuniculus],Oryctolagus cuniculus,202,202,95%,1e-61,37.41,355,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/P21109.2?report=genbank&log$=prottop&blast_rank=3&RID=42HUBWRS013"",""P21109.2"")"
RecName: Full=C-X-C chemokine receptor type 1; Short=CXC-R1; Short=CXCR-1; AltName: Full=High affinity interleukin-8 receptor A; Short=IL-8R A; AltName: Full=IL-8 receptor type 1; AltName: CD_antigen=CD181 [Macaca mulatta],Macaca mulatta,194,194,99%,8e-59,37.04,351,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q2YEG0.1?report=genbank&log$=prottop&blast_rank=4&RID=42HUBWRS013"",""Q2YEG0.1"")"
RecName: Full=C-X-C chemokine receptor type 2; Short=CXC-R2; Short=CXCR-2; AltName: Full=GRO/MGSA receptor; AltName: Full=High affinity interleukin-8 receptor B; Short=IL-8R B; AltName: CD_antigen=CD182 [Rattus norvegicus],Rattus norvegicus,194,194,95%,2e-58,37.76,359,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/P35407.2?report=genbank&log$=prottop&blast_rank=5&RID=42HUBWRS013"",""P35407.2"")"
RecName: Full=C-X-C chemokine receptor type 2; Short=CXC-R2; Short=CXCR-2; AltName: Full=High affinity interleukin-8 receptor B; Short=IL-8R B; AltName: CD_antigen=CD182 [Bos taurus],Bos taurus,189,189,99%,2e-56,36.36,360,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q28003.1?report=genbank&log$=prottop&blast_rank=6&RID=42HUBWRS013"",""Q28003.1"")"
RecName: Full=C-X-C chemokine receptor type 4-B; Short=CXC-R4-B; Short=CXCR-4-B; AltName: Full=Stromal cell-derived factor 1 receptor B; Short=SDF-1 receptor B [Xenopus laevis],Xenopus laevis,186,186,96%,1e-55,35.27,358,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q7ZXJ7.1?report=genbank&log$=prottop&blast_rank=7&RID=42HUBWRS013"",""Q7ZXJ7.1"")"
RecName: Full=C-X-C chemokine receptor type 2; Short=CXC-R2; Short=CXCR-2; AltName: Full=GRO/MGSA receptor; AltName: Full=High affinity interleukin-8 receptor B; Short=IL-8R B; AltName: CD_antigen=CD182 [Oryctolagus cuniculus],Oryctolagus cuniculus,185,185,98%,3e-55,37.63,358,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/P35344.1?report=genbank&log$=prottop&blast_rank=8&RID=42HUBWRS013"",""P35344.1"")"
RecName: Full=C-X-C chemokine receptor type 3; Short=CXC-R3; Short=CXCR-3; AltName: Full=CKR-L2; AltName: Full=G protein-coupled receptor 9; AltName: Full=Interferon-inducible protein 10 receptor; Short=IP-10 receptor; AltName: CD_antigen=CD183 [Homo sapiens],Homo sapiens,185,185,87%,3e-55,43.13,368,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/P49682.2?report=genbank&log$=prottop&blast_rank=9&RID=42HUBWRS013"",""P49682.2"")"
RecName: Full=C-X-C chemokine receptor type 2; Short=CXC-R2; Short=CXCR-2; AltName: Full=GRO/MGSA receptor; AltName: Full=High affinity interleukin-8 receptor B; Short=IL-8R B; AltName: CD_antigen=CD182 [Mus musculus],Mus musculus,181,181,95%,2e-53,35.52,359,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/P35343.1?report=genbank&log$=prottop&blast_rank=10&RID=42HUBWRS013"",""P35343.1"")"
RecName: Full=C-X-C chemokine receptor type 5; Short=CXC-R5; Short=CXCR-5; AltName: Full=Burkitt lymphoma receptor 1 homolog; AltName: Full=Neurolymphatic receptor; Short=NLR; AltName: CD_antigen=CD185 [Rattus norvegicus],Rattus norvegicus,181,181,94%,2e-53,37.50,374,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/P34997.1?report=genbank&log$=prottop&blast_rank=11&RID=42HUBWRS013"",""P34997.1"")"
RecName: Full=C-X-C chemokine receptor type 1; Short=CXC-R1; Short=CXCR-1; AltName: Full=High affinity interleukin-8 receptor A; Short=IL-8R A; AltName: CD_antigen=CD181 [Rattus norvegicus],Rattus norvegicus,180,180,95%,3e-53,36.36,349,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/P70612.1?report=genbank&log$=prottop&blast_rank=12&RID=42HUBWRS013"",""P70612.1"")"
RecName: Full=C-X-C chemokine receptor type 5; Short=CXC-R5; Short=CXCR-5; AltName: Full=Burkitt lymphoma receptor 1 homolog; AltName: CD_antigen=CD185 [Mus musculus],Mus musculus,180,180,94%,5e-53,37.15,374,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q04683.2?report=genbank&log$=prottop&blast_rank=13&RID=42HUBWRS013"",""Q04683.2"")"
RecName: Full=C-X-C chemokine receptor type 1; Short=CXC-R1; Short=CXCR-1; AltName: Full=High affinity interleukin-8 receptor A; Short=IL-8R A; AltName: Full=IL-8 receptor type 1; AltName: CD_antigen=CD181 [Gorilla gorilla gorilla],Gorilla gorilla gorilla,177,177,99%,4e-52,36.36,350,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/P55919.1?report=genbank&log$=prottop&blast_rank=14&RID=42HUBWRS013"",""P55919.1"")"
RecName: Full=C-X-C chemokine receptor type 1; Short=CXC-R1; Short=CXCR-1; AltName: Full=High affinity interleukin-8 receptor A; Short=IL-8R A; AltName: Full=IL-8 receptor type 1; AltName: CD_antigen=CD181 [Hoolock hoolock],Hoolock hoolock,176,176,99%,6e-52,36.03,351,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q2YEG2.1?report=genbank&log$=prottop&blast_rank=15&RID=42HUBWRS013"",""Q2YEG2.1"")"
