Description(Sequences  with  E-value BETTER than threshold),Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
RecName: Full=C-X-C chemokine receptor type 3-2 [Danio rerio],Danio rerio,385,385,99%,3e-133,64.58,378,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/E9QJ73.2?report=genbank&log$=prottop&blast_rank=1&RID=42HT5DN001N"",""E9QJ73.2"")"
RecName: Full=C-X-C chemokine receptor type 3; Short=CXC-R3; Short=CXCR-3; AltName: Full=Interferon-inducible protein 10 receptor; Short=IP-10 receptor; AltName: CD_antigen=CD183 [Bos taurus],Bos taurus,200,200,100%,4e-61,41.18,366,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q5MD61.1?report=genbank&log$=prottop&blast_rank=2&RID=42HT5DN001N"",""Q5MD61.1"")"
RecName: Full=C-X-C chemokine receptor type 3; Short=CXC-R3; Short=CXCR-3; AltName: Full=Interferon-inducible protein 10 receptor; Short=IP-10 receptor; AltName: CD_antigen=CD183 [Capra hircus],Capra hircus,199,199,100%,8e-61,40.83,366,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q867B2.1?report=genbank&log$=prottop&blast_rank=3&RID=42HT5DN001N"",""Q867B2.1"")"
RecName: Full=C-X-C chemokine receptor type 1; Short=CXC-R1; Short=CXCR-1; AltName: Full=High affinity interleukin-8 receptor A; Short=IL-8R A; AltName: CD_antigen=CD181 [Oryctolagus cuniculus],Oryctolagus cuniculus,191,191,95%,2e-57,39.86,355,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/P21109.2?report=genbank&log$=prottop&blast_rank=4&RID=42HT5DN001N"",""P21109.2"")"
RecName: Full=C-X-C chemokine receptor type 5; Short=CXC-R5; Short=CXCR-5; AltName: Full=Burkitt lymphoma receptor 1 homolog; AltName: Full=Neurolymphatic receptor; Short=NLR; AltName: CD_antigen=CD185 [Rattus norvegicus],Rattus norvegicus,188,188,98%,3e-56,36.11,374,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/P34997.1?report=genbank&log$=prottop&blast_rank=5&RID=42HT5DN001N"",""P34997.1"")"
RecName: Full=C-X-C chemokine receptor type 5; Short=CXC-R5; Short=CXCR-5; AltName: Full=Burkitt lymphoma receptor 1 homolog; AltName: CD_antigen=CD185 [Mus musculus],Mus musculus,183,183,98%,2e-54,35.76,374,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q04683.2?report=genbank&log$=prottop&blast_rank=6&RID=42HT5DN001N"",""Q04683.2"")"
RecName: Full=C-X-C chemokine receptor type 1; Short=CXC-R1; Short=CXCR-1; AltName: Full=High affinity interleukin-8 receptor A; Short=IL-8R A; AltName: Full=IL-8 receptor type 1; AltName: CD_antigen=CD181 [Macaca mulatta],Macaca mulatta,178,178,95%,9e-53,39.36,351,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q2YEG0.1?report=genbank&log$=prottop&blast_rank=7&RID=42HT5DN001N"",""Q2YEG0.1"")"
RecName: Full=C-X-C chemokine receptor type 2; Short=CXC-R2; Short=CXCR-2; AltName: Full=GRO/MGSA receptor; AltName: Full=High affinity interleukin-8 receptor B; Short=IL-8R B; AltName: CD_antigen=CD182 [Oryctolagus cuniculus],Oryctolagus cuniculus,178,178,95%,1e-52,38.41,358,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/P35344.1?report=genbank&log$=prottop&blast_rank=8&RID=42HT5DN001N"",""P35344.1"")"
RecName: Full=C-X-C chemokine receptor type 2; Short=CXC-R2; Short=CXCR-2; AltName: Full=High affinity interleukin-8 receptor B; Short=IL-8R B; AltName: CD_antigen=CD182 [Bos taurus],Bos taurus,177,177,95%,4e-52,40.14,360,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q28003.1?report=genbank&log$=prottop&blast_rank=9&RID=42HT5DN001N"",""Q28003.1"")"
RecName: Full=C-X-C chemokine receptor type 2; Short=CXC-R2; Short=CXCR-2; AltName: Full=GRO/MGSA receptor; AltName: Full=High affinity interleukin-8 receptor B; Short=IL-8R B; AltName: CD_antigen=CD182 [Rattus norvegicus],Rattus norvegicus,176,176,97%,6e-52,38.30,359,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/P35407.2?report=genbank&log$=prottop&blast_rank=10&RID=42HT5DN001N"",""P35407.2"")"
