Description(Sequences  with  E-value BETTER than threshold),Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
RecName: Full=C-C chemokine receptor type 2; Short=C-C CKR-2; Short=CC-CKR-2; Short=CCR-2; Short=CCR2; AltName: Full=Monocyte chemoattractant protein 1 receptor; Short=MCP-1-R; AltName: CD_antigen=CD192 [Macaca mulatta],Macaca mulatta,520,520,100%,0.0,84.07,360,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/O18793.2?report=genbank&log$=prottop&blast_rank=1&RID=5ESEE3G3016"",""O18793.2"")"
RecName: Full=C-C chemokine receptor type 2; Short=C-C CKR-2; Short=CC-CKR-2; Short=CCR-2; Short=CCR2; AltName: CD_antigen=CD192 [Rattus norvegicus],Rattus norvegicus,508,508,100%,0.0,82.03,373,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/O55193.1?report=genbank&log$=prottop&blast_rank=2&RID=5ESEE3G3016"",""O55193.1"")"
RecName: Full=C-C chemokine receptor type 2; Short=C-C CKR-2; Short=CC-CKR-2; Short=CCR-2; Short=CCR2; AltName: Full=JE/FIC receptor; AltName: Full=MCP-1 receptor; AltName: CD_antigen=CD192 [Mus musculus],Mus musculus,502,502,100%,2e-179,81.69,373,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/P51683.2?report=genbank&log$=prottop&blast_rank=3&RID=5ESEE3G3016"",""P51683.2"")"
RecName: Full=C-C chemokine receptor type 5; Short=C-C CKR-5; Short=CC-CKR-5; Short=CCR-5; Short=CCR5; AltName: CD_antigen=CD195 [Bos taurus],Bos taurus,501,501,99%,2e-179,83.56,352,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q2HJ17.1?report=genbank&log$=prottop&blast_rank=4&RID=5ESEE3G3016"",""Q2HJ17.1"")"
RecName: Full=C-C chemokine receptor type 2; Short=C-C CKR-2; Short=CC-CKR-2; Short=CCR-2; Short=CCR2; AltName: Full=Monocyte chemoattractant protein 1 receptor; Short=MCP-1-R; AltName: CD_antigen=CD192 [Homo sapiens],Homo sapiens,490,490,93%,1e-174,84.48,374,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/P41597.1?report=genbank&log$=prottop&blast_rank=5&RID=5ESEE3G3016"",""P41597.1"")"
RecName: Full=C-C chemokine receptor type 5; Short=C-C CKR-5; Short=CC-CKR-5; Short=CCR-5; Short=CCR5; AltName: CD_antigen=CD195 [Allochrocebus solatus],Allochrocebus solatus,488,488,99%,3e-174,80.20,352,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q9BGN6.1?report=genbank&log$=prottop&blast_rank=6&RID=5ESEE3G3016"",""Q9BGN6.1"")"
RecName: Full=C-C chemokine receptor type 5; Short=C-C CKR-5; Short=CC-CKR-5; Short=CCR-5; Short=CCR5; AltName: CD_antigen=CD195 [Allochrocebus lhoesti],Allochrocebus lhoesti,488,488,99%,4e-174,80.20,352,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q9XT76.1?report=genbank&log$=prottop&blast_rank=7&RID=5ESEE3G3016"",""Q9XT76.1"")"
RecName: Full=C-C chemokine receptor type 5; Short=C-C CKR-5; Short=CC-CKR-5; Short=CCR-5; Short=CCR5; AltName: CD_antigen=CD195 [Canis lupus familiaris],Canis lupus familiaris,484,484,99%,8e-173,79.19,352,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q5ECR9.1?report=genbank&log$=prottop&blast_rank=8&RID=5ESEE3G3016"",""Q5ECR9.1"")"
RecName: Full=C-C chemokine receptor type 5; Short=C-C CKR-5; Short=CC-CKR-5; Short=CCR-5; AltName: Full=MIP-1 alpha receptor; AltName: CD_antigen=CD195 [Mus musculus],Mus musculus,484,484,100%,2e-172,77.59,354,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/P51682.3?report=genbank&log$=prottop&blast_rank=9&RID=5ESEE3G3016"",""P51682.3"")"
RecName: Full=C-C chemokine receptor type 5; Short=C-C CKR-5; Short=CC-CKR-5; Short=CCR-5; AltName: Full=MIP-1 alpha receptor; AltName: CD_antigen=CD195 [Oryctolagus cuniculus],Oryctolagus cuniculus,483,483,100%,2e-172,79.93,352,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q1ZY22.1?report=genbank&log$=prottop&blast_rank=10&RID=5ESEE3G3016"",""Q1ZY22.1"")"
RecName: Full=C-C chemokine receptor type 5; Short=C-C CKR-5; Short=CC-CKR-5; Short=CCR-5; Short=CCR5; AltName: CD_antigen=CD195 [Cercocebus atys],Cercocebus atys,472,472,99%,8e-168,81.21,352,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/O62743.2?report=genbank&log$=prottop&blast_rank=11&RID=5ESEE3G3016"",""O62743.2"")"
RecName: Full=C-C chemokine receptor type 5; Short=C-C CKR-5; Short=CC-CKR-5; Short=CCR-5; Short=CCR5; AltName: CD_antigen=CD195 [Macaca arctoides],Macaca arctoides,469,469,99%,6e-167,80.87,352,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/O97975.1?report=genbank&log$=prottop&blast_rank=12&RID=5ESEE3G3016"",""O97975.1"")"
RecName: Full=C-C chemokine receptor type 5; Short=C-C CKR-5; Short=CC-CKR-5; Short=CCR-5; Short=CCR5; AltName: CD_antigen=CD195 [Symphalangus syndactylus],Symphalangus syndactylus,469,469,99%,7e-167,80.54,352,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q95NC5.1?report=genbank&log$=prottop&blast_rank=13&RID=5ESEE3G3016"",""Q95NC5.1"")"
RecName: Full=C-C chemokine receptor type 5; Short=C-C CKR-5; Short=CC-CKR-5; Short=CCR-5; Short=CCR5; AltName: CD_antigen=CD195 [Mandrillus leucophaeus],Mandrillus leucophaeus,469,469,99%,9e-167,80.87,352,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q95ND2.1?report=genbank&log$=prottop&blast_rank=14&RID=5ESEE3G3016"",""Q95ND2.1"")"
RecName: Full=C-C chemokine receptor type 5; Short=C-C CKR-5; Short=CC-CKR-5; Short=CCR-5; Short=CCR5; AltName: CD_antigen=CD195 [Hylobates moloch],Hylobates moloch,469,469,99%,9e-167,80.54,352,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q95NC0.1?report=genbank&log$=prottop&blast_rank=15&RID=5ESEE3G3016"",""Q95NC0.1"")"
RecName: Full=C-C chemokine receptor type 5; Short=C-C CKR-5; Short=CC-CKR-5; Short=CCR-5; Short=CCR5; AltName: CD_antigen=CD195 [Macaca mulatta],Macaca mulatta,469,469,99%,9e-167,80.87,352,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/P61813.1?report=genbank&log$=prottop&blast_rank=16&RID=5ESEE3G3016"",""P61813.1"")"
RecName: Full=C-C chemokine receptor type 5; Short=C-C CKR-5; Short=CC-CKR-5; Short=CCR-5; Short=CCR5; AltName: CD_antigen=CD195 [Miopithecus talapoin],Miopithecus talapoin,469,469,99%,1e-166,80.87,352,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q95NC3.1?report=genbank&log$=prottop&blast_rank=17&RID=5ESEE3G3016"",""Q95NC3.1"")"
RecName: Full=C-C chemokine receptor type 5; Short=C-C CKR-5; Short=CC-CKR-5; Short=CCR-5; Short=CCR5; AltName: CD_antigen=CD195 [Cercocebus galeritus],Cercocebus galeritus,469,469,99%,1e-166,80.87,352,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q9TV49.1?report=genbank&log$=prottop&blast_rank=18&RID=5ESEE3G3016"",""Q9TV49.1"")"
RecName: Full=C-C chemokine receptor type 5; Short=C-C CKR-5; Short=CC-CKR-5; Short=CCR-5; Short=CCR5; AltName: CD_antigen=CD195 [Nomascus leucogenys],Nomascus leucogenys,469,469,99%,1e-166,80.20,352,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/O97883.1?report=genbank&log$=prottop&blast_rank=19&RID=5ESEE3G3016"",""O97883.1"")"
RecName: Full=C-C chemokine receptor type 5; Short=C-C CKR-5; Short=CC-CKR-5; Short=CCR-5; Short=CCR5; AltName: CD_antigen=CD195 [Mandrillus sphinx],Mandrillus sphinx,468,468,99%,2e-166,80.87,352,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q95ND1.1?report=genbank&log$=prottop&blast_rank=20&RID=5ESEE3G3016"",""Q95ND1.1"")"
