Description(Sequences  with  E-value BETTER than threshold),Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
RecName: Full=C-X-C chemokine receptor type 3-2 [Danio rerio],Danio rerio,400,400,99%,7e-139,63.34,378,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/E9QJ73.2?report=genbank&log$=prottop&blast_rank=1&RID=5ZDUCSJU013"",""E9QJ73.2"")"
RecName: Full=C-X-C chemokine receptor type 3; Short=CXC-R3; Short=CXCR-3; AltName: Full=Interferon-inducible protein 10 receptor; Short=IP-10 receptor; AltName: CD_antigen=CD183 [Bos taurus],Bos taurus,204,204,96%,4e-62,40.47,366,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q5MD61.1?report=genbank&log$=prottop&blast_rank=2&RID=5ZDUCSJU013"",""Q5MD61.1"")"
RecName: Full=C-X-C chemokine receptor type 3; Short=CXC-R3; Short=CXCR-3; AltName: Full=Interferon-inducible protein 10 receptor; Short=IP-10 receptor; AltName: CD_antigen=CD183 [Capra hircus],Capra hircus,203,203,96%,5e-62,40.47,366,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q867B2.1?report=genbank&log$=prottop&blast_rank=3&RID=5ZDUCSJU013"",""Q867B2.1"")"
RecName: Full=C-X-C chemokine receptor type 5; Short=CXC-R5; Short=CXCR-5; AltName: Full=Burkitt lymphoma receptor 1 homolog; AltName: Full=Neurolymphatic receptor; Short=NLR; AltName: CD_antigen=CD185 [Rattus norvegicus],Rattus norvegicus,199,199,96%,4e-60,37.95,374,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/P34997.1?report=genbank&log$=prottop&blast_rank=4&RID=5ZDUCSJU013"",""P34997.1"")"
RecName: Full=C-X-C chemokine receptor type 5; Short=CXC-R5; Short=CXCR-5; AltName: Full=Burkitt lymphoma receptor 1 homolog; AltName: CD_antigen=CD185 [Mus musculus],Mus musculus,193,193,96%,6e-58,37.87,374,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q04683.2?report=genbank&log$=prottop&blast_rank=5&RID=5ZDUCSJU013"",""Q04683.2"")"
RecName: Full=C-X-C chemokine receptor type 1; Short=CXC-R1; Short=CXCR-1; AltName: Full=High affinity interleukin-8 receptor A; Short=IL-8R A; AltName: CD_antigen=CD181 [Oryctolagus cuniculus],Oryctolagus cuniculus,187,187,94%,5e-56,38.18,355,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/P21109.2?report=genbank&log$=prottop&blast_rank=6&RID=5ZDUCSJU013"",""P21109.2"")"
RecName: Full=C-X-C chemokine receptor type 2; Short=CXC-R2; Short=CXCR-2; AltName: Full=GRO/MGSA receptor; AltName: Full=High affinity interleukin-8 receptor B; Short=IL-8R B; AltName: CD_antigen=CD182 [Rattus norvegicus],Rattus norvegicus,187,187,97%,1e-55,38.54,359,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/P35407.2?report=genbank&log$=prottop&blast_rank=7&RID=5ZDUCSJU013"",""P35407.2"")"
RecName: Full=C-X-C chemokine receptor type 2; Short=CXC-R2; Short=CXCR-2; AltName: Full=GRO/MGSA receptor; AltName: Full=High affinity interleukin-8 receptor B; Short=IL-8R B; AltName: CD_antigen=CD182 [Oryctolagus cuniculus],Oryctolagus cuniculus,184,184,94%,2e-54,37.88,358,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/P35344.1?report=genbank&log$=prottop&blast_rank=8&RID=5ZDUCSJU013"",""P35344.1"")"
RecName: Full=C-C chemokine receptor type 4; Short=C-C CKR-4; Short=CC-CKR-4; Short=CCR-4; Short=CCR4; AltName: CD_antigen=CD194 [Mus musculus],Mus musculus,182,182,99%,6e-54,36.81,360,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/P51680.2?report=genbank&log$=prottop&blast_rank=9&RID=5ZDUCSJU013"",""P51680.2"")"
RecName: Full=C-X-C chemokine receptor type 4-B; Short=CXC-R4-B; Short=CXCR-4-B; AltName: Full=Stromal cell-derived factor 1 receptor B; Short=SDF-1 receptor B [Xenopus laevis],Xenopus laevis,182,182,96%,6e-54,34.80,358,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q7ZXJ7.1?report=genbank&log$=prottop&blast_rank=10&RID=5ZDUCSJU013"",""Q7ZXJ7.1"")"
