Description(Sequences  with  E-value BETTER than threshold),Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
RecName: Full=C-C chemokine receptor type 5; Short=C-C CKR-5; Short=CC-CKR-5; Short=CCR-5; Short=CCR5; AltName: CD_antigen=CD195 [Bos taurus],Bos taurus,604,604,100%,0.0,99.66,352,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q2HJ17.1?report=genbank&log$=prottop&blast_rank=1&RID=5EXP4KV001N"",""Q2HJ17.1"")"
RecName: Full=C-C chemokine receptor type 5; Short=C-C CKR-5; Short=CC-CKR-5; Short=CCR-5; Short=CCR5; AltName: CD_antigen=CD195 [Allochrocebus lhoesti],Allochrocebus lhoesti,543,543,100%,0.0,87.58,352,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q9XT76.1?report=genbank&log$=prottop&blast_rank=2&RID=5EXP4KV001N"",""Q9XT76.1"")"
RecName: Full=C-C chemokine receptor type 5; Short=C-C CKR-5; Short=CC-CKR-5; Short=CCR-5; Short=CCR5; AltName: CD_antigen=CD195 [Allochrocebus solatus],Allochrocebus solatus,543,543,100%,0.0,87.58,352,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q9BGN6.1?report=genbank&log$=prottop&blast_rank=3&RID=5EXP4KV001N"",""Q9BGN6.1"")"
RecName: Full=C-C chemokine receptor type 5; Short=C-C CKR-5; Short=CC-CKR-5; Short=CCR-5; Short=CCR5; AltName: CD_antigen=CD195 [Cercocebus atys],Cercocebus atys,521,521,100%,0.0,87.58,352,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/O62743.2?report=genbank&log$=prottop&blast_rank=4&RID=5EXP4KV001N"",""O62743.2"")"
RecName: Full=C-C chemokine receptor type 5; Short=C-C CKR-5; Short=CC-CKR-5; Short=CCR-5; Short=CCR5; AltName: CD_antigen=CD195 [Pongo pygmaeus],Pongo pygmaeus,518,518,100%,0.0,87.25,352,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/O97881.1?report=genbank&log$=prottop&blast_rank=5&RID=5EXP4KV001N"",""O97881.1"")"
RecName: Full=C-C chemokine receptor type 5; Short=C-C CKR-5; Short=CC-CKR-5; Short=CCR-5; Short=CCR5; AltName: CD_antigen=CD195 [Cercocebus galeritus],Cercocebus galeritus,518,518,100%,0.0,87.25,352,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q9TV49.1?report=genbank&log$=prottop&blast_rank=6&RID=5EXP4KV001N"",""Q9TV49.1"")"
RecName: Full=C-C chemokine receptor type 5; Short=C-C CKR-5; Short=CC-CKR-5; Short=CCR-5; Short=CCR5; AltName: CD_antigen=CD195 [Pan troglodytes],Pan troglodytes,518,518,100%,0.0,87.25,352,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/P56440.1?report=genbank&log$=prottop&blast_rank=7&RID=5EXP4KV001N"",""P56440.1"")"
RecName: Full=C-C chemokine receptor type 5; Short=C-C CKR-5; Short=CC-CKR-5; Short=CCR-5; Short=CCR5; AltName: CD_antigen=CD195 [Macaca arctoides],Macaca arctoides,517,517,100%,0.0,86.91,352,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/O97975.1?report=genbank&log$=prottop&blast_rank=8&RID=5EXP4KV001N"",""O97975.1"")"
RecName: Full=C-C chemokine receptor type 5; Short=C-C CKR-5; Short=CC-CKR-5; Short=CCR-5; Short=CCR5; AltName: CD_antigen=CD195 [Lophocebus aterrimus],Lophocebus aterrimus,517,517,100%,0.0,87.25,352,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/P61755.1?report=genbank&log$=prottop&blast_rank=9&RID=5EXP4KV001N"",""P61755.1"")"
RecName: Full=C-C chemokine receptor type 5; Short=C-C CKR-5; Short=CC-CKR-5; Short=CCR-5; Short=CCR5; AltName: CD_antigen=CD195 [Gorilla gorilla gorilla],Gorilla gorilla gorilla,517,517,99%,0.0,87.54,352,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/P56439.1?report=genbank&log$=prottop&blast_rank=10&RID=5EXP4KV001N"",""P56439.1"")"
RecName: Full=C-C chemokine receptor type 5; Short=C-C CKR-5; Short=CC-CKR-5; Short=CCR-5; Short=CCR5; AltName: Full=CHEMR13; AltName: Full=HIV-1 fusion coreceptor; AltName: CD_antigen=CD195 [Homo sapiens],Homo sapiens,517,517,100%,0.0,86.91,352,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/P51681.1?report=genbank&log$=prottop&blast_rank=11&RID=5EXP4KV001N"",""P51681.1"")"
RecName: Full=C-C chemokine receptor type 5; Short=C-C CKR-5; Short=CC-CKR-5; Short=CCR-5; Short=CCR5; AltName: CD_antigen=CD195 [Canis lupus familiaris],Canis lupus familiaris,517,517,100%,0.0,83.56,352,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q5ECR9.1?report=genbank&log$=prottop&blast_rank=12&RID=5EXP4KV001N"",""Q5ECR9.1"")"
RecName: Full=C-C chemokine receptor type 5; Short=C-C CKR-5; Short=CC-CKR-5; Short=CCR-5; Short=CCR5; AltName: CD_antigen=CD195 [Macaca mulatta],Macaca mulatta,516,516,100%,0.0,86.91,352,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/P61813.1?report=genbank&log$=prottop&blast_rank=13&RID=5EXP4KV001N"",""P61813.1"")"
