organism,genome,chromosome,start,end,orientation
human,hg38,chr3, 46354111,46376206,+
chimp,panTro6,chr3,46590705,46615186,+
bonobo,panPan3,chr3,46254982,46278691,+
gorilla,gorGor6,chr3,46381572,46405107,+
orangutan,ponAbe3,chr3,95532016,95555204,-
green-monkey,chlSab2,chr22,7791731,7819594,+
crab-eating-macaque,macFas5,chr2,101378530,101403958,+
rhesus,rheMac10,chr2,102369031,102398271,+
baboon-anubis,papAnu4,chr2,89378613,89406476,-
proboscis-monkey,nasLar1,chr2,85880614,85908477,-
golden-snub-nosed-monkey,rhiRox1,KN297259v1,1951004,1973490,-
marmoset,calJac4,chr15,23523570,23547654,+
squirrel-monkey,saiBol1,JH378122,8984281,9011112,+
tarsier,tarSyr2,KE948712v1,116305,141645,+
mouse-lemur,micMur2,KQ053959v1,3536051,3557991,-
bushbaby,otoGar3,GL873601,7522268,7545388,+
mouse,mm10,chr9,124101629,124132609,+
rat,rn6,chr8,133192672,133217125,+
rabbit,oryCun2,chr9,14540535,14564777,+
pig,susScr11,chr13,29367944,29388715,+
cow,bosTau9,chr22,53027046,53049742,-
sheep,oviAri4,chr19,52956067,52978917,-
horse,equCab3,chr16,41953236,41996344,-
dog,canFam4,chr20,42698795,42719394,-
cat,felCat9,chrA2,15918326,15939375,+
platypus,ornAna2,chrUn_DS180993v1,3925639,3939642,+
chicken,galGal6,chr2,42617044,42635745,-
turkey,melGal5,chr6,43052857,43072641,+
zebra-finch,taeGut2,chr2,63209779,63226637,-
lizard,anoCar2,chr1,88970930,88983604,+
