Description(Sequences  with  E-value BETTER than threshold),Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
RecName: Full=C-X-C chemokine receptor type 3; Short=CXC-R3; Short=CXCR-3; AltName: Full=Interferon-inducible protein 10 receptor; Short=IP-10 receptor; AltName: CD_antigen=CD183 [Bos taurus],Bos taurus,158,158,94%,5e-45,38.91,366,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q5MD61.1?report=genbank&log$=prottop&blast_rank=1&RID=5ZDUH3US013"",""Q5MD61.1"")"
RecName: Full=C-X-C chemokine receptor type 3; Short=CXC-R3; Short=CXCR-3; AltName: Full=Interferon-inducible protein 10 receptor; Short=IP-10 receptor; AltName: CD_antigen=CD183 [Capra hircus],Capra hircus,156,156,94%,3e-44,38.57,366,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q867B2.1?report=genbank&log$=prottop&blast_rank=2&RID=5ZDUH3US013"",""Q867B2.1"")"
RecName: Full=C-X-C chemokine receptor type 5; Short=CXC-R5; Short=CXCR-5; AltName: Full=Burkitt lymphoma receptor 1 homolog; AltName: CD_antigen=CD185 [Mus musculus],Mus musculus,149,149,95%,2e-41,32.33,374,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q04683.2?report=genbank&log$=prottop&blast_rank=3&RID=5ZDUH3US013"",""Q04683.2"")"
RecName: Full=C-X-C chemokine receptor type 2; Short=CXC-R2; Short=CXCR-2; AltName: Full=GRO/MGSA receptor; AltName: Full=High affinity interleukin-8 receptor B; Short=IL-8R B; AltName: CD_antigen=CD182 [Rattus norvegicus],Rattus norvegicus,147,147,93%,1e-40,31.72,359,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/P35407.2?report=genbank&log$=prottop&blast_rank=4&RID=5ZDUH3US013"",""P35407.2"")"
RecName: Full=C-X-C chemokine receptor type 5; Short=CXC-R5; Short=CXCR-5; AltName: Full=Burkitt lymphoma receptor 1 homolog; AltName: Full=Neurolymphatic receptor; Short=NLR; AltName: CD_antigen=CD185 [Rattus norvegicus],Rattus norvegicus,147,147,95%,1e-40,30.67,374,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/P34997.1?report=genbank&log$=prottop&blast_rank=5&RID=5ZDUH3US013"",""P34997.1"")"
RecName: Full=C-X-C chemokine receptor type 1; Short=CXC-R1; Short=CXCR-1; AltName: Full=High affinity interleukin-8 receptor A; Short=IL-8R A; AltName: Full=IL-8 receptor type 1; AltName: CD_antigen=CD181 [Macaca mulatta],Macaca mulatta,144,144,97%,2e-39,31.35,351,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q2YEG0.1?report=genbank&log$=prottop&blast_rank=6&RID=5ZDUH3US013"",""Q2YEG0.1"")"
RecName: Full=C-X-C chemokine receptor type 2; Short=CXC-R2; Short=CXCR-2; AltName: Full=GRO/MGSA receptor; AltName: Full=High affinity interleukin-8 receptor B; Short=IL-8R B; AltName: CD_antigen=CD182 [Mus musculus],Mus musculus,140,140,93%,3e-38,31.72,359,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/P35343.1?report=genbank&log$=prottop&blast_rank=7&RID=5ZDUH3US013"",""P35343.1"")"
RecName: Full=C-X-C chemokine receptor type 1; Short=CXC-R1; Short=CXCR-1; AltName: Full=High affinity interleukin-8 receptor A; Short=IL-8R A; AltName: CD_antigen=CD181 [Oryctolagus cuniculus],Oryctolagus cuniculus,140,140,93%,5e-38,31.58,355,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/P21109.2?report=genbank&log$=prottop&blast_rank=8&RID=5ZDUH3US013"",""P21109.2"")"
RecName: Full=C-X-C chemokine receptor type 3; Short=CXC-R3; Short=CXCR-3; AltName: Full=CKR-L2; AltName: Full=G protein-coupled receptor 9; AltName: Full=Interferon-inducible protein 10 receptor; Short=IP-10 receptor; AltName: CD_antigen=CD183 [Homo sapiens],Homo sapiens,137,137,85%,9e-37,37.59,368,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/P49682.2?report=genbank&log$=prottop&blast_rank=9&RID=5ZDUH3US013"",""P49682.2"")"
RecName: Full=C-X-C chemokine receptor type 4-B; Short=CXC-R4-B; Short=CXCR-4-B; AltName: Full=Stromal cell-derived factor 1 receptor B; Short=SDF-1 receptor B [Xenopus laevis],Xenopus laevis,136,136,95%,1e-36,28.62,358,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q7ZXJ7.1?report=genbank&log$=prottop&blast_rank=10&RID=5ZDUH3US013"",""Q7ZXJ7.1"")"
RecName: Full=C-X-C chemokine receptor type 2; Short=CXC-R2; Short=CXCR-2; AltName: Full=High affinity interleukin-8 receptor B; Short=IL-8R B; AltName: CD_antigen=CD182 [Bos taurus],Bos taurus,135,135,99%,2e-36,30.10,360,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q28003.1?report=genbank&log$=prottop&blast_rank=11&RID=5ZDUH3US013"",""Q28003.1"")"
